entity_type,entity_id,entity_name,validated_username,validated_full_name,validated_score
empresa,1238,,caixapostodufigueiredo,Caixa Posto Du Figueiredo II,70.81818181818181
empresa,2454,,r.m_confeccoes,R.M Confecções,90.0
empresa,817,,mvassessoriaeplanejamento,MV Assessoria e Planejamento,82.80000000000001
empresa,104,,radisson_hotel_anapolis,Radisson Hotel Anápolis,90.0
empresa,114,,rayanerodrigueslopes,rayane rodrigues lopes,72.0
empresa,843,,realpetrp,Real Pet,88.0
empresa,1184,,redux_30,Redux32,88.57142857142857
empresa,265,,renatalopesmuniz,Renata Lopes Muniz,84.375
empresa,2001,,residencialmiragegardens,Residencial Mirage Gardens,72.0
empresa,1307,,riovermelhodistribuicao,Rio Vermelho Distribuição,78.26086956521739
empresa,2375,,rolly_s__,Rolly🕋,72.57142857142857
empresa,953,,sao8082,sao,88.0
empresa,1378,,saboresdobrasilgourmetthe,SABORES DO BRASIL GOURMET,88.0
empresa,661,,salinas,Salinas,90.0
empresa,1421,,samila_modas,samila_modas,90.0
empresa,495,,saojosedistribuidora,São José | Distribuidora,90.0
empresa,2519,,searaalimentosltda,SEARA ALIMENTOS LTDA,90.0
empresa,1080,,serviceinformatica,Service Informática,90.0
empresa,2720,,spc.diaries,spc.diaries,72.0
empresa,175,,renata_specta_traveel,Specta Viagens,75.0
empresa,1257,,supermercado_bom.preco,Supermercado Bom Preço,90.0
empresa,910,,symphon_fashion,SYMPHONY FASHION,83.33333333333334
empresa,863,,tequalybrasil,Tequaly,88.0
empresa,1958,,terraceempreendimentos,Terrace Empreendimentos,90.0
empresa,1411,,tieteagroindustrialoficial,Tietê Agroindustrial,88.0
empresa,1463,,tonicutolo.obraeobjeto,Toni Cutolo Arquitetura,75.0
empresa,1245,,transfalcao,Externo Transfalcao,74.0
empresa,1280,,transportadora.bom.jardim,Transportadora Bom Jardim,78.26086956521739
empresa,2632,,tnt.telecom,T&T Telecom,81.0
empresa,2456,,ma.pei_,𝕄𝕒 𝕡𝕖𝕚,72.0
empresa,449,,valenteconstrutora,Valente Construtora,90.0
empresa,459,,vianaconsultoria,Viana Consultoria,84.375
empresa,497,,vitoriaregia_cosmeticos,Vitória Régia Cosméticos,90.0
empresa,280,,zimba.wear,ZIMBA,88.0
